,subj,handedness,finger,hand,dominant_hand,time_bin,taps_bin
162,27,right,index,right,True,0,60
163,27,right,index,right,True,1,62
164,27,right,index,right,True,2,59
165,27,right,index,right,True,3,60
166,27,right,index,right,True,4,62
167,27,right,index,right,True,5,60
168,28,right,index,right,True,0,67
169,28,right,index,right,True,1,67
170,28,right,index,right,True,2,63
171,28,right,index,right,True,3,64
172,28,right,index,right,True,4,61
173,28,right,index,right,True,5,59
174,29,right,pinky,right,True,0,71
175,29,right,pinky,right,True,1,66
176,29,right,pinky,right,True,2,66
177,29,right,pinky,right,True,3,62
178,29,right,pinky,right,True,4,63
179,29,right,pinky,right,True,5,58
180,30,right,pinky,right,True,0,43
181,30,right,pinky,right,True,1,75
182,30,right,pinky,right,True,2,55
183,30,right,pinky,right,True,3,72
184,30,right,pinky,right,True,4,86
185,30,right,pinky,right,True,5,75
186,31,right,pinky,left,False,0,60
187,31,right,pinky,left,False,1,58
188,31,right,pinky,left,False,2,59
189,31,right,pinky,left,False,3,59
190,31,right,pinky,left,False,4,60
191,31,right,pinky,left,False,5,56
192,32,right,index,left,False,0,52
193,32,right,index,left,False,1,52
194,32,right,index,left,False,2,51
195,32,right,index,left,False,3,52
196,32,right,index,left,False,4,50
197,32,right,index,left,False,5,49
198,33,left,pinky,left,True,0,62
199,33,left,pinky,left,True,1,51
200,33,left,pinky,left,True,2,44
201,33,left,pinky,left,True,3,52
202,33,left,pinky,left,True,4,43
203,33,left,pinky,left,True,5,49
204,34,right,pinky,right,True,0,60
205,34,right,pinky,right,True,1,63
206,34,right,pinky,right,True,2,56
207,34,right,pinky,right,True,3,60
208,34,right,pinky,right,True,4,61
209,34,right,pinky,right,True,5,58
210,35,right,pinky,left,False,0,52
211,35,right,pinky,left,False,1,48
212,35,right,pinky,left,False,2,46
213,35,right,pinky,left,False,3,45
214,35,right,pinky,left,False,4,45
215,35,right,pinky,left,False,5,42
216,36,right,index,left,False,0,59
217,36,right,index,left,False,1,51
218,36,right,index,left,False,2,50
219,36,right,index,left,False,3,50
220,36,right,index,left,False,4,50
221,36,right,index,left,False,5,46
222,37,right,pinky,right,True,0,80
223,37,right,pinky,right,True,1,76
224,37,right,pinky,right,True,2,68
225,37,right,pinky,right,True,3,63
226,37,right,pinky,right,True,4,70
227,37,right,pinky,right,True,5,68
228,38,right,index,right,True,0,60
229,38,right,index,right,True,1,54
230,38,right,index,right,True,2,50
231,38,right,index,right,True,3,51
232,38,right,index,right,True,4,52
233,38,right,index,right,True,5,52
234,39,right,index,right,True,0,48
235,39,right,index,right,True,1,67
236,39,right,index,right,True,2,61
237,39,right,index,right,True,3,60
238,39,right,index,right,True,4,66
239,39,right,index,right,True,5,58
240,40,right,index,right,True,0,79
241,40,right,index,right,True,1,65
242,40,right,index,right,True,2,64
243,40,right,index,right,True,3,65
244,40,right,index,right,True,4,70
245,40,right,index,right,True,5,80
246,41,right,pinky,right,True,0,62
247,41,right,pinky,right,True,1,72
248,41,right,pinky,right,True,2,75
249,41,right,pinky,right,True,3,68
250,41,right,pinky,right,True,4,69
251,41,right,pinky,right,True,5,66
252,42,right,pinky,right,True,0,45
253,42,right,pinky,right,True,1,44
254,42,right,pinky,right,True,2,40
255,42,right,pinky,right,True,3,38
256,42,right,pinky,right,True,4,35
257,42,right,pinky,right,True,5,33
258,43,right,pinky,left,False,0,55
